log_id,tiltmeter_id,depth_m,x_axis_tilt_deg,y_axis_tilt_deg,temperature_c,battery_v
1,TLM-DEEP-11,90.0,1.388,0.466,28.6,3.63
2,TLM-DEEP-12,130.0,1.122,2.191,32.4,3.83
3,TLM-DEEP-13,170.0,1.392,2.406,36.2,3.64
4,TLM-DEEP-14,210.0,2.345,0.990,33.4,3.89
5,TLM-DEEP-15,50.0,3.395,1.279,34.5,3.71
6,TLM-DEEP-16,90.0,1.778,2.158,36.3,3.72
7,TLM-DEEP-17,130.0,1.014,0.849,32.7,3.84
8,TLM-DEEP-10,170.0,0.321,2.689,31.6,3.77
9,TLM-DEEP-11,210.0,1.450,2.258,35.0,3.51
10,TLM-DEEP-12,50.0,2.043,1.758,36.3,3.96
11,TLM-DEEP-13,90.0,1.795,2.292,32.4,3.79
12,TLM-DEEP-14,130.0,0.633,2.328,33.7,3.80
13,TLM-DEEP-15,170.0,2.544,2.296,36.5,3.84
14,TLM-DEEP-16,210.0,0.578,1.397,29.2,3.94
15,TLM-DEEP-17,50.0,1.588,1.692,34.2,3.69
16,TLM-DEEP-10,90.0,2.575,1.562,28.5,3.72
17,TLM-DEEP-11,130.0,0.689,1.347,29.7,3.52
18,TLM-DEEP-12,170.0,0.527,0.795,35.8,3.48
19,TLM-DEEP-13,210.0,0.898,2.623,36.0,3.60
20,TLM-DEEP-14,50.0,1.856,0.689,32.7,3.75
21,TLM-DEEP-15,90.0,1.722,1.207,35.5,4.01
22,TLM-DEEP-16,130.0,2.427,2.671,32.0,3.66
23,TLM-DEEP-17,170.0,0.128,1.784,30.8,3.67
24,TLM-DEEP-10,210.0,1.954,1.960,29.7,3.86
25,TLM-DEEP-11,50.0,1.067,0.790,34.5,3.74
26,TLM-DEEP-12,90.0,0.866,2.092,34.8,3.40
27,TLM-DEEP-13,130.0,0.679,0.977,31.6,3.49
28,TLM-DEEP-14,170.0,2.045,0.252,30.7,4.04
29,TLM-DEEP-15,210.0,0.068,1.763,35.3,4.03
30,TLM-DEEP-16,50.0,2.766,2.587,29.5,4.11
31,TLM-DEEP-17,90.0,0.273,0.860,30.4,4.09
32,TLM-DEEP-10,130.0,1.635,0.933,28.9,3.49
33,TLM-DEEP-11,170.0,2.590,1.166,34.3,3.62
34,TLM-DEEP-12,210.0,3.228,1.486,35.8,4.06
35,TLM-DEEP-13,50.0,3.045,1.246,35.9,3.85
36,TLM-DEEP-14,90.0,2.754,0.650,28.5,3.85
37,TLM-DEEP-15,130.0,0.122,2.040,34.6,3.84
38,TLM-DEEP-16,170.0,1.387,2.456,35.8,3.77
39,TLM-DEEP-17,210.0,2.171,1.649,31.6,3.71
40,TLM-DEEP-10,50.0,3.190,0.848,30.7,3.88
41,TLM-DEEP-11,90.0,2.531,2.736,36.3,3.68
42,TLM-DEEP-12,130.0,0.008,2.671,36.1,3.79
43,TLM-DEEP-13,170.0,1.927,0.912,32.2,3.95
44,TLM-DEEP-14,210.0,2.289,0.711,31.6,3.66
45,TLM-DEEP-15,50.0,2.783,1.284,32.5,4.20
46,TLM-DEEP-16,90.0,2.509,0.218,30.7,3.76
47,TLM-DEEP-17,130.0,2.039,1.044,35.8,3.51
48,TLM-DEEP-10,170.0,2.799,1.387,33.3,3.42
49,TLM-DEEP-11,210.0,1.375,0.527,33.0,3.74
50,TLM-DEEP-12,50.0,0.893,2.723,32.8,4.16
51,TLM-DEEP-13,90.0,2.943,0.747,29.6,3.81
52,TLM-DEEP-14,130.0,0.304,0.426,32.8,3.88
53,TLM-DEEP-15,170.0,0.868,0.424,34.2,3.68
54,TLM-DEEP-16,210.0,2.741,1.116,28.9,3.78
55,TLM-DEEP-17,50.0,1.529,1.438,32.2,3.80
56,TLM-DEEP-10,90.0,2.141,1.032,28.9,4.12
57,TLM-DEEP-11,130.0,0.536,1.733,30.0,3.56
58,TLM-DEEP-12,170.0,2.322,2.042,32.7,3.54
59,TLM-DEEP-13,210.0,1.833,2.781,30.8,3.73
60,TLM-DEEP-14,50.0,0.825,0.918,31.3,4.15
