reading_id,timestamp,site_id,zone_id,sensor_id,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,signal_dbm,sensor_battery_pct,angular_crack_velocity_product,crack_expansion_ratio,moisture_weighted_tilt,hazard_index_H,risk_class
1,2026-01-01T01:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0,0.17,1.13,0,0.48,29,-82,66,0.017,0,0,-0.001,Normal
2,2026-01-01T02:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.49,0.14,0.69,0,0.87,15,-73,76,0.014,0,0.073,0.133,Normal
3,2026-01-01T03:00:00.000Z,singareni-s4,zone-a,TL-301,0.29,0.08,1.78,0,1.05,31,-66,77,0.008,0,0.09,0.054,Normal
4,2026-01-01T04:00:00.000Z,singareni-s4,zone-b,SN-101,4.21,0.95,8.56,1.24,4.28,73,-63,86,1.273,0.143,3.073,0.792,Critical
5,2026-01-01T05:00:00.000Z,jharia-open-pit,zone-c,EX-201,0.41,0.21,0.59,0.31,0.62,31,-82,95,0.086,0.449,0.127,0.135,Normal
6,2026-01-01T06:00:00.000Z,singareni-s4,zone-a,SN-101,2.18,0.29,3.44,0.43,1.98,38,-82,72,0.154,0.121,0.828,0.318,Warning
7,2026-01-01T07:00:00.000Z,raniganj-south-slope,zone-c,EX-201,3.04,0.84,6.77,1.32,2.81,69,-72,94,1.193,0.192,2.098,0.613,Critical
8,2026-01-01T08:00:00.000Z,singareni-s4,zone-d,TL-301,0.17,0,0.28,0.06,0.48,31,-79,65,0,0.158,0.053,0,Normal
9,2026-01-01T09:00:00.000Z,singareni-s4,zone-c,TL-301,2.01,0.41,4.08,0.37,1,43,-84,87,0.193,0.089,0.864,0.283,Normal
10,2026-01-01T10:00:00.000Z,korba-west-bench,zone-b,TL-301,0.94,0.17,0.58,0.11,0.19,31,-69,85,0.036,0.162,0.291,0.128,Normal
11,2026-01-01T11:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.6,0.08,1.05,0.14,0.94,28,-65,85,0.019,0.122,0.168,0.068,Normal
12,2026-01-01T12:00:00.000Z,korba-west-bench,zone-a,EX-201,1.77,0.49,3.91,0.55,1.91,48,-63,99,0.319,0.137,0.85,0.3,Warning
13,2026-01-01T13:00:00.000Z,singareni-s4,zone-c,EX-201,0.32,0.11,0,0.17,0.36,37,-61,62,0.03,1.7,0.118,0.071,Normal
14,2026-01-01T14:00:00.000Z,raniganj-south-slope,zone-d,EX-201,1.4,0.44,2.99,0.27,1.74,54,-83,73,0.163,0.087,0.756,0.352,Warning
15,2026-01-01T15:00:00.000Z,raniganj-south-slope,zone-b,TL-301,1.13,0.56,3.24,0.3,2.37,34,-60,63,0.224,0.09,0.384,0.284,Normal
16,2026-01-01T16:00:00.000Z,korba-west-bench,zone-c,TL-301,0.91,0.29,0.08,0.13,0,23,-82,83,0.067,0.722,0.209,0.174,Normal
17,2026-01-01T17:00:00.000Z,singareni-s4,zone-d,TL-301,2.67,0.99,7.81,1.31,3.66,82,-73,97,1.396,0.166,2.189,0.666,Critical
18,2026-01-01T18:00:00.000Z,jharia-open-pit,zone-a,EX-201,3.76,0.89,6.51,1.14,4.55,67,-75,96,1.104,0.172,2.519,0.701,Critical
19,2026-01-01T19:00:00.000Z,raniganj-south-slope,zone-b,TL-301,1.23,0.19,0.36,0.25,1.35,26,-79,83,0.066,0.543,0.32,0.178,Normal
20,2026-01-01T20:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,3.56,0.78,6.64,1.27,3.65,66,-61,87,1.069,0.188,2.35,0.603,Critical
21,2026-01-01T21:00:00.000Z,singareni-s4,zone-d,TL-301,2.22,0.14,1.51,0.27,1.45,57,-61,61,0.052,0.168,1.265,0.256,Normal
22,2026-01-01T22:00:00.000Z,raniganj-south-slope,zone-b,SN-101,3.61,0.88,6.42,1.4,2.21,81,-71,78,1.32,0.215,2.924,0.681,Critical
23,2026-01-01T23:00:00.000Z,raniganj-south-slope,zone-b,SN-101,3.26,0.64,6.63,1.07,3.03,79,-70,85,0.749,0.159,2.575,0.629,Critical
24,2026-01-02T00:00:00.000Z,singareni-s4,zone-c,TL-301,1.31,0.3,3.05,0.55,1.98,52,-84,78,0.195,0.175,0.681,0.332,Warning
25,2026-01-02T01:00:00.000Z,korba-west-bench,zone-a,PZ-401,0.35,0,1.76,0.1,1.26,10,-84,80,0,0.054,0.035,0.018,Normal
26,2026-01-02T02:00:00.000Z,singareni-s4,zone-c,SN-101,0.42,0.06,0,0.37,0.33,39,-71,84,0.028,3.7,0.164,0.047,Normal
27,2026-01-02T03:00:00.000Z,korba-west-bench,zone-b,SN-101,2.16,0.09,3.97,0.59,1.45,45,-62,75,0.062,0.145,0.972,0.24,Normal
28,2026-01-02T04:00:00.000Z,singareni-s4,zone-a,EX-201,0.31,0.39,0.65,0.19,0,44,-70,89,0.113,0.253,0.136,0.188,Normal
