reading_id,timestamp,site_id,zone_id,sensor_id,ground_displacement_mm,displacement_rate_mm_hr,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,sensor_battery_pct,risk_class
1,2026-01-01T01:00:00.000Z,raniganj-south-slope,zone-b,SN-101,3.98,0.58,0.36,0.07,0.38,0.06,0.33,21,79,Normal
2,2026-01-01T02:00:00.000Z,korba-west-bench,zone-c,SN-102,26.80,3.27,4.45,0.81,7.15,1.63,5.54,83,81,Critical
3,2026-01-01T03:00:00.000Z,singareni-s4,zone-b,EX-201,0.34,0.16,0.63,0.13,0.17,0.02,0.35,31,76,Normal
4,2026-01-01T04:00:00.000Z,raniganj-south-slope,zone-d,TL-301,27.75,3.93,3.13,1.08,9.86,2.33,2.79,62,70,Critical
5,2026-01-01T05:00:00.000Z,jharia-open-pit,zone-d,TL-301,8.74,2.11,1.13,0.34,3.33,0.47,1.28,40,84,Warning
6,2026-01-01T06:00:00.000Z,singareni-s4,zone-b,PZ-401,0.69,0.11,0.77,0.02,0.89,0.18,0.36,24,98,Normal
7,2026-01-01T07:00:00.000Z,raniganj-south-slope,zone-c,SN-102,9.34,2.17,1.66,0.51,2.77,0.59,1.29,51,87,Warning
8,2026-01-01T08:00:00.000Z,jharia-open-pit,zone-c,EX-201,2.24,0.16,0.00,0.12,1.32,0.03,0.62,21,96,Normal
9,2026-01-01T09:00:00.000Z,jharia-open-pit,zone-d,SN-102,28.48,4.64,3.43,0.50,8.86,2.39,4.75,90,80,Critical
10,2026-01-01T10:00:00.000Z,raniganj-south-slope,zone-d,SN-102,2.19,0.15,0.64,0.13,0.32,0.15,0.35,34,63,Normal
11,2026-01-01T11:00:00.000Z,korba-west-bench,zone-b,SN-101,1.35,0.05,0.17,0.00,0.04,0.02,0.22,17,83,Normal
12,2026-01-01T12:00:00.000Z,raniganj-south-slope,zone-c,TL-301,2.35,0.42,0.24,0.15,0.68,0.12,0.22,33,75,Normal
13,2026-01-01T13:00:00.000Z,korba-west-bench,zone-c,TL-301,2.53,0.47,0.18,0.09,0.54,0.03,0.28,24,87,Normal
14,2026-01-01T14:00:00.000Z,jharia-open-pit,zone-a,PZ-401,2.78,0.70,0.73,0.10,1.31,0.12,0.09,28,62,Normal
15,2026-01-01T15:00:00.000Z,singareni-s4,zone-a,PZ-401,4.14,0.34,0.29,0.14,0.60,0.04,0.10,28,81,Normal
16,2026-01-01T16:00:00.000Z,korba-west-bench,zone-c,EX-201,0.49,0.46,0.00,0.13,0.22,0.03,0.05,20,79,Normal
17,2026-01-01T17:00:00.000Z,korba-west-bench,zone-c,TL-301,10.54,1.74,2.52,0.51,2.96,0.28,1.67,64,84,Warning
18,2026-01-01T18:00:00.000Z,korba-west-bench,zone-b,SN-102,1.62,0.42,0.26,0.01,1.44,0.08,0.78,15,88,Normal
19,2026-01-01T19:00:00.000Z,singareni-s4,zone-d,SN-101,3.93,0.32,0.31,0.04,0.67,0.02,0.15,15,95,Normal
20,2026-01-01T20:00:00.000Z,jharia-open-pit,zone-d,SN-102,0.40,0.77,0.63,0.11,0.49,0.09,1.11,17,61,Normal
21,2026-01-01T21:00:00.000Z,jharia-open-pit,zone-a,SN-101,2.07,0.50,0.51,0.08,1.01,0.03,0.60,17,65,Normal
22,2026-01-01T22:00:00.000Z,singareni-s4,zone-a,SN-102,3.89,0.73,0.37,0.01,0.70,0.18,0.57,16,72,Normal
23,2026-01-01T23:00:00.000Z,singareni-s4,zone-c,PZ-401,2.74,0.65,0.29,0.10,0.33,0.04,0.39,20,64,Normal
24,2026-01-02T00:00:00.000Z,jharia-open-pit,zone-d,EX-201,3.72,0.12,0.02,0.14,0.10,0.10,0.40,29,69,Normal
25,2026-01-02T01:00:00.000Z,korba-west-bench,zone-c,EX-201,2.18,0.62,0.02,0.02,0.82,0.05,0.10,20,70,Normal
26,2026-01-02T02:00:00.000Z,korba-west-bench,zone-a,TL-301,26.63,4.00,3.00,1.16,12.20,1.73,2.72,92,87,Critical
27,2026-01-02T03:00:00.000Z,raniganj-south-slope,zone-b,SN-102,23.62,4.32,3.48,0.86,5.23,2.01,2.53,83,76,Critical
28,2026-01-02T04:00:00.000Z,raniganj-south-slope,zone-c,SN-102,0.80,0.16,0.05,0.01,0.59,0.09,0.84,23,68,Normal
29,2026-01-02T05:00:00.000Z,raniganj-south-slope,zone-c,TL-301,9.33,2.11,1.73,0.15,3.88,0.57,1.56,48,94,Warning
30,2026-01-02T06:00:00.000Z,singareni-s4,zone-b,PZ-401,3.63,0.50,0.67,0.00,0.26,0.17,1.04,19,80,Normal
31,2026-01-02T07:00:00.000Z,singareni-s4,zone-a,PZ-401,8.69,1.11,1.59,0.58,2.40,0.36,2.64,53,68,Warning
32,2026-01-02T08:00:00.000Z,korba-west-bench,zone-a,EX-201,3.17,0.15,0.46,0.14,0.06,0.06,0.53,35,73,Normal
33,2026-01-02T09:00:00.000Z,raniganj-south-slope,zone-d,TL-301,0.12,0.50,0.32,0.11,0.25,0.04,1.15,24,76,Normal
34,2026-01-02T10:00:00.000Z,korba-west-bench,zone-d,SN-102,2.16,0.55,0.78,0.08,1.48,0.03,0.80,30,83,Normal
35,2026-01-02T11:00:00.000Z,singareni-s4,zone-a,SN-101,8.91,1.82,0.82,0.19,2.09,0.39,2.58,37,89,Warning
36,2026-01-02T12:00:00.000Z,jharia-open-pit,zone-b,TL-301,2.84,0.09,0.28,0.14,1.07,0.09,0.77,34,65,Normal
37,2026-01-02T13:00:00.000Z,singareni-s4,zone-d,TL-301,26.65,4.65,3.71,1.48,7.91,1.83,4.92,76,82,Critical
38,2026-01-02T14:00:00.000Z,jharia-open-pit,zone-a,SN-102,6.47,0.87,2.20,0.53,2.16,0.56,2.36,58,63,Warning
39,2026-01-02T15:00:00.000Z,jharia-open-pit,zone-b,SN-101,5.68,0.82,1.31,0.39,3.94,0.54,2.32,50,87,Warning
40,2026-01-02T16:00:00.000Z,korba-west-bench,zone-b,SN-102,8.81,1.92,2.20,0.34,2.69,0.51,1.70,40,77,Warning
41,2026-01-02T17:00:00.000Z,korba-west-bench,zone-d,PZ-401,4.39,0.03,0.17,0.00,0.80,0.03,0.41,37,75,Normal
42,2026-01-02T18:00:00.000Z,singareni-s4,zone-c,SN-101,3.18,0.13,0.54,0.13,0.42,0.12,0.10,39,68,Normal
43,2026-01-02T19:00:00.000Z,raniganj-south-slope,zone-d,TL-301,2.98,0.70,0.19,0.14,0.61,0.18,0.43,16,61,Normal
44,2026-01-02T20:00:00.000Z,raniganj-south-slope,zone-d,SN-101,10.36,1.23,2.26,0.36,3.62,0.20,2.78,42,70,Warning
45,2026-01-02T21:00:00.000Z,jharia-open-pit,zone-c,TL-301,2.84,0.16,0.62,0.09,0.90,0.01,0.87,30,76,Normal
46,2026-01-02T22:00:00.000Z,jharia-open-pit,zone-b,TL-301,0.45,0.62,0.17,0.02,0.63,0.08,1.03,28,69,Normal
47,2026-01-02T23:00:00.000Z,raniganj-south-slope,zone-b,EX-201,4.39,0.47,0.38,0.03,1.17,0.04,0.92,17,65,Normal
48,2026-01-03T00:00:00.000Z,singareni-s4,zone-b,SN-101,6.16,1.67,1.86,0.43,2.63,0.54,1.44,37,89,Warning
49,2026-01-03T01:00:00.000Z,singareni-s4,zone-c,TL-301,0.02,0.15,0.64,0.14,0.48,0.13,0.72,18,95,Normal
50,2026-01-03T02:00:00.000Z,jharia-open-pit,zone-d,TL-301,1.62,0.52,0.67,0.10,1.11,0.11,0.22,21,83,Normal
51,2026-01-03T03:00:00.000Z,raniganj-south-slope,zone-d,EX-201,6.20,1.06,1.85,0.15,3.73,0.35,2.93,46,90,Warning
52,2026-01-03T04:00:00.000Z,korba-west-bench,zone-c,PZ-401,26.32,3.88,3.95,0.75,8.92,2.53,4.06,71,67,Critical
53,2026-01-03T05:00:00.000Z,jharia-open-pit,zone-d,SN-101,0.13,0.47,0.47,0.08,0.90,0.02,0.73,25,79,Normal
54,2026-01-03T06:00:00.000Z,jharia-open-pit,zone-d,TL-301,7.07,1.50,2.52,0.59,1.78,0.36,1.30,36,66,Warning
55,2026-01-03T07:00:00.000Z,korba-west-bench,zone-c,SN-102,25.36,6.73,2.85,0.95,10.19,0.91,4.10,80,77,Critical
56,2026-01-03T08:00:00.000Z,singareni-s4,zone-c,PZ-401,8.20,1.79,1.63,0.52,4.48,0.41,2.94,41,61,Warning
